X,Y,id,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
546367.791756466,4055248.32637392,,0,0,0,0,0.00000000000000,86.99007436562904
546458.761584052,4055181.61516703,,1,0,0,1,112.80910715281441,149.56441069419506
546476.955549569,4055036.06344289,,2,0,0,2,259.49354661675267,183.74792881986485
546404.1796875,4054757.08930496,,3,0,0,3,547.80396220044577,160.74538581728569
546476.955549569,4054702.50740841,,4,0,0,4,638.77378978676506,108.43494882295867
546901.481411638,4054702.50740841,,5,0,0,5,1063.29965185563424,142.31043699430415
546828.705549569,4054423.53327047,,6,0,0,6,1351.61006743974849,216.02340842701355
546392.050377155,4054144.55913254,,7,0,0,7,1869.77443251143177,253.09028929932612
545834.102101293,4054132.4298222,,8,0,0,8,2427.85453313049265,255.42868235115631
545627.903825431,4054023.2660291,,9,0,0,9,2661.16647601635168,276.60740970412593
545294.347790948,4054314.36947737,,10,0,0,10,3103.88630360262960,352.52094393062811
545518.740032328,4054647.92551185,,11,0,0,11,3505.89563947802708,35.72445562127943
545779.520204742,4054987.54620151,,12,0,0,12,3934.08778229014797,62.13970676216774
546100.946928879,4055005.74016703,,13,0,0,13,4256.02901818769897,67.24330534890181
546367.791756466,4055248.32637392,,14,0,0,14,4616.65934107501653,86.99007436562904
