X,Y
544693.72666948,4052170.47308788
544764.267359135,4052146.05515684
544764.267359135,4052146.05515684
544777.832876376,4052075.51446719
544832.094945342,4051785.21239822
544929.766669479,4051511.18894995
544937.905979824,4051329.41101891
544870.078393617,4051182.9034327
544620.472876376,4051090.65791546
544476.678393618,4051077.09239822
544224.359772928,4051112.36274305
544056.147359135,4051169.33791546
543885.221841894,4051348.40274305
543931.344600515,4051516.61515684
544132.114255687,4051633.27860512
544408.850807411,4051711.95860512
544452.260462583,4051915.44136374
544566.210807411,4052137.9158465
544693.72666948,4052170.47308788
